               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029393,             0.01418,          0.00055546,             0.95992,                0.95,             0.98808,             0.59323,            0.020641,           0.0043603,          0.00039824,             0.00307,             0.00307,             0.00307
                  37,            0.029791,            0.014691,          0.00061852,             0.96192,             0.98333,             0.99031,             0.61408,            0.020168,           0.0044002,          0.00037459,            0.002872,            0.002872,            0.002872
                  38,            0.023156,            0.012577,           0.0004113,             0.96525,             0.92607,             0.98326,             0.60282,            0.020334,           0.0044027,          0.00037489,            0.002674,            0.002674,            0.002674
                  39,            0.026867,            0.014043,           0.0004579,                   1,              0.9612,             0.99311,              0.6442,            0.019476,           0.0043191,          0.00034856,            0.002476,            0.002476,            0.002476
                  40,            0.029747,             0.01375,          0.00055316,                   1,             0.94416,             0.99286,             0.64654,            0.019363,           0.0042169,          0.00032101,            0.002278,            0.002278,            0.002278
                  41,             0.03072,            0.013179,           0.0004593,             0.98275,             0.94957,             0.99126,             0.67304,            0.019586,           0.0041351,          0.00029671,             0.00208,             0.00208,             0.00208
                  42,            0.025836,            0.013056,           0.0005884,              0.9869,             0.96667,             0.99451,             0.66118,            0.019576,           0.0040906,          0.00028729,            0.001882,            0.001882,            0.001882
                  43,              0.0285,            0.012597,          0.00043222,                   1,             0.97656,             0.99437,             0.66046,            0.019255,           0.0040816,          0.00027698,            0.001684,            0.001684,            0.001684
                  44,            0.024846,            0.013266,            0.000341,                   1,             0.98174,               0.995,             0.66339,            0.019698,           0.0040208,          0.00026248,            0.001486,            0.001486,            0.001486
                  45,            0.027865,             0.01371,          0.00045667,             0.97179,             0.96667,             0.99369,             0.65551,            0.019934,           0.0039498,          0.00025394,            0.001288,            0.001288,            0.001288
                  46,            0.028714,            0.013167,          0.00037362,             0.97508,                   1,             0.99418,             0.66127,            0.019894,           0.0038574,           0.0002439,             0.00109,             0.00109,             0.00109
                  47,            0.024983,             0.01406,          0.00047547,                   1,             0.98035,               0.995,             0.66281,            0.020091,           0.0038001,          0.00023571,            0.000892,            0.000892,            0.000892
                  48,            0.025176,            0.012625,          0.00033185,             0.99711,                   1,               0.995,             0.67473,            0.019869,           0.0037897,          0.00023015,            0.000694,            0.000694,            0.000694
                  49,            0.023057,            0.013219,          0.00029025,             0.98353,             0.96667,             0.99451,              0.6644,            0.019887,           0.0037776,          0.00022327,            0.000496,            0.000496,            0.000496
